id,value,link,fixColor
Marie,155,http://www.vorname.com/name.Marie.html,1
Sophie,131,http://www.vorname.com/name.Sophie.html,1
Maria,92,http://www.vorname.com/name.Maria.html,1
Maximilian,84,http://www.vorname.com/name.Maximilian.html,0
Alexander,83,http://www.vorname.com/name.Alexander.html,0
Johanna,74,http://www.vorname.com/name.Johanna.html,1
Jonas,71,http://www.vorname.com/name.Jonas.html,0
Noah,69,http://www.vorname.com/name.Noah.html,0
Sophia,66,http://www.vorname.com/name.Sophia.html,1
Charlotte,62,http://www.vorname.com/name.Charlotte.html,1
Felix,60,http://www.vorname.com/name.Felix.html,0
Anna,60,http://www.vorname.com/name.Anna.html,1
Paul,58,http://www.vorname.com/name.Paul.html,0
Emilia,56,http://www.vorname.com/name.Emilia.html,1
Anton,56,http://www.vorname.com/name.Anton.html,0
Mia,55,http://www.vorname.com/name.Mia.html,1
Elias,54,http://www.vorname.com/name.Elias.html,0
Ben,54,http://www.vorname.com/name.Ben.html,0
Jonathan,47,http://www.vorname.com/name.Jonathan.html,0
Emma,46,http://www.vorname.com/name.Emma.html,1
Lina,44,http://www.vorname.com/name.Lina.html,1
Leon,44,http://www.vorname.com/name.Leon.html,0
Jakob,41,http://www.vorname.com/name.Jakob.html,0
David,40,http://www.vorname.com/name.David.html,0
Lena,38,http://www.vorname.com/name.Lena.html,1
Elisabeth,38,http://www.vorname.com/name.Elisabeth.html,1
Leonard,37,http://www.vorname.com/name.Leonard.html,0
Katharina,36,http://www.vorname.com/name.Katharina.html,1
Julian,36,http://www.vorname.com/name.Julian.html,0
Benjamin,36,http://www.vorname.com/name.Benjamin.html,0
Luisa,35,http://www.vorname.com/name.Luisa.html,1
Jan,35,http://www.vorname.com/name.Jan.html,0
Emil,35,http://www.vorname.com/name.Emil.html,0
Philipp,33,http://www.vorname.com/name.Philipp.html,0
Mila,33,http://www.vorname.com/name.Mila.html,1
Max,33,http://www.vorname.com/name.Max.html,0
Lukas,33,http://www.vorname.com/name.Lukas.html,0
Leonie,33,http://www.vorname.com/name.Leonie.html,1
Niklas,32,http://www.vorname.com/name.Niklas.html,0
Johann,32,http://www.vorname.com/name.Johann.html,0
Ida,32,http://www.vorname.com/name.Ida.html,1
Clara,32,http://www.vorname.com/name.Clara.html,1
Paula,31,http://www.vorname.com/name.Paula.html,1
Louis,31,http://www.vorname.com/name.Louis.html,0
Leo,31,http://www.vorname.com/name.Leo.html,0
Laura,31,http://www.vorname.com/name.Laura.html,1
Luise,30,http://www.vorname.com/name.Luise.html,1
Sofia,09,http://www.vorname.com/name.Sofia.html,1
Moritz,09,http://www.vorname.com/name.Moritz.html,0
Lea,09,http://www.vorname.com/name.Lea.html,1
Tim,08,http://www.vorname.com/name.Tim.html,0
Julius,08,http://www.vorname.com/name.Julius.html,0
Daniel,08,http://www.vorname.com/name.Daniel.html,0
Mats,07,http://www.vorname.com/name.Mats.html,0
Marlene,07,http://www.vorname.com/name.Marlene.html,1
Leni,07,http://www.vorname.com/name.Leni.html,1
Theo,06,http://www.vorname.com/name.Theo.html,0
Theodor,06,http://www.vorname.com/name.Theodor.html,0
Oskar,06,http://www.vorname.com/name.Oskar.html,0
Milan,06,http://www.vorname.com/name.Milan.html,0
Johannes,06,http://www.vorname.com/name.Johannes.html,0
Greta,06,http://www.vorname.com/name.Greta.html,1
Victoria,05,http://www.vorname.com/name.Victoria.html,1
Sarah,04,http://www.vorname.com/name.Sarah.html,1
Hanna,04,http://www.vorname.com/name.Hanna.html,1
Amelie,04,http://www.vorname.com/name.Amelie.html,1
Viktoria,03,http://www.vorname.com/name.Viktoria.html,1
Mathilda,03,http://www.vorname.com/name.Mathilda.html,1
Martin,03,http://www.vorname.com/name.Martin.html,0
Luca,03,http://www.vorname.com/name.Luca.html,0
Lara,03,http://www.vorname.com/name.Lara.html,1
Julia,03,http://www.vorname.com/name.Julia.html,1
Josefine,03,http://www.vorname.com/name.Josefine.html,1
Ali,03,http://www.vorname.com/name.Ali.html,0
Vincent,02,http://www.vorname.com/name.Vincent.html,0
Valentin,02,http://www.vorname.com/name.Valentin.html,0
Tom,02,http://www.vorname.com/name.Tom.html,0
Michael,02,http://www.vorname.com/name.Michael.html,0
Luis,02,http://www.vorname.com/name.Luis.html,0
Lotta,02,http://www.vorname.com/name.Lotta.html,1
Liam,02,http://www.vorname.com/name.Liam.html,0
Hannah,02,http://www.vorname.com/name.Hannah.html,1
Ella,02,http://www.vorname.com/name.Ella.html,1
Samuel,01,http://www.vorname.com/name.Samuel.html,0
Lisa,01,http://www.vorname.com/name.Lisa.html,1
Karl,01,http://www.vorname.com/name.Karl.html,0
Henri,01,http://www.vorname.com/name.Henri.html,0
Elisa,01,http://www.vorname.com/name.Elisa.html,1
Adam,01,http://www.vorname.com/name.Adam.html,0
Simon,19,http://www.vorname.com/name.Simon.html,0
Klara,19,http://www.vorname.com/name.Klara.html,1
Josef,19,http://www.vorname.com/name.Josef.html,0
Jana,19,http://www.vorname.com/name.Jana.html,1
Henry,19,http://www.vorname.com/name.Henry.html,0
Gabriel,19,http://www.vorname.com/name.Gabriel.html,0
Florian,19,http://www.vorname.com/name.Florian.html,0
Adrian,19,http://www.vorname.com/name.Adrian.html,0
Peter,18,http://www.vorname.com/name.Peter.html,0
Nora,18,http://www.vorname.com/name.Nora.html,1
Nele,18,http://www.vorname.com/name.Nele.html,1
Linus,18,http://www.vorname.com/name.Linus.html,0
Mira,17,http://www.vorname.com/name.Mira.html,1
Maya,17,http://www.vorname.com/name.Maya.html,1
Frieda,17,http://www.vorname.com/name.Frieda.html,1
Christian,17,http://www.vorname.com/name.Christian.html,0
Yusuf,16,http://www.vorname.com/name.Yusuf.html,0
Robin,16,http://www.vorname.com/name.Robin.html,0
Mohamed,16,http://www.vorname.com/name.Mohamed.html,0
Frida,16,http://www.vorname.com/name.Frida.html,1
Fabian,16,http://www.vorname.com/name.Fabian.html,0
Carl,16,http://www.vorname.com/name.Carl.html,0
Aaron,16,http://www.vorname.com/name.Aaron.html,0
Timo,15,http://www.vorname.com/name.Timo.html,0
Sebastian,15,http://www.vorname.com/name.Sebastian.html,0
Justus,15,http://www.vorname.com/name.Justus.html,0
Tobias,14,http://www.vorname.com/name.Tobias.html,0
Theresa,14,http://www.vorname.com/name.Theresa.html,1
Sara,14,http://www.vorname.com/name.Sara.html,1
Raphael,14,http://www.vorname.com/name.Raphael.html,0
Ole,14,http://www.vorname.com/name.Ole.html,0
Eva,14,http://www.vorname.com/name.Eva.html,1
Emilian,14,http://www.vorname.com/name.Emilian.html,0
Clemens,14,http://www.vorname.com/name.Clemens.html,0
Matilda,13,http://www.vorname.com/name.Matilda.html,1
Louisa,13,http://www.vorname.com/name.Louisa.html,1
Joshua,13,http://www.vorname.com/name.Joshua.html,0
Ibrahim,13,http://www.vorname.com/name.Ibrahim.html,0
Hannes,13,http://www.vorname.com/name.Hannes.html,0
Carlotta,13,http://www.vorname.com/name.Carlotta.html,1
Ava,13,http://www.vorname.com/name.Ava.html,1
Pauline,12,http://www.vorname.com/name.Pauline.html,1
Nicolas,12,http://www.vorname.com/name.Nicolas.html,0
Mina,12,http://www.vorname.com/name.Mina.html,1
Mika,12,http://www.vorname.com/name.Mika.html,0
Maja,12,http://www.vorname.com/name.Maja.html,1
Lia,12,http://www.vorname.com/name.Lia.html,1
Josephine,12,http://www.vorname.com/name.Josephine.html,1
Jonah,12,http://www.vorname.com/name.Jonah.html,0
Joel,12,http://www.vorname.com/name.Joel.html,0
Jacob,12,http://www.vorname.com/name.Jacob.html,0
Fynn,12,http://www.vorname.com/name.Fynn.html,0
Friedrich,12,http://www.vorname.com/name.Friedrich.html,0
Frederik,12,http://www.vorname.com/name.Frederik.html,0
Erik,12,http://www.vorname.com/name.Erik.html,0
Annika,12,http://www.vorname.com/name.Annika.html,1
Alexandra,12,http://www.vorname.com/name.Alexandra.html,1
Valentina,11,http://www.vorname.com/name.Valentina.html,1
Sofie,11,http://www.vorname.com/name.Sofie.html,1
Muhammed,11,http://www.vorname.com/name.Muhammed.html,0
Merle,11,http://www.vorname.com/name.Merle.html,1
Melina,11,http://www.vorname.com/name.Melina.html,1
Matteo,11,http://www.vorname.com/name.Matteo.html,0
Linda,11,http://www.vorname.com/name.Linda.html,1
Lian,11,http://www.vorname.com/name.Lian.html,0
Levi,11,http://www.vorname.com/name.Levi.html,0
Konstantin,11,http://www.vorname.com/name.Konstantin.html,0
Jannis,11,http://www.vorname.com/name.Jannis.html,0
Flora,11,http://www.vorname.com/name.Flora.html,1
Emilio,11,http://www.vorname.com/name.Emilio.html,0
Alina,11,http://www.vorname.com/name.Alina.html,1
Ahmed,11,http://www.vorname.com/name.Ahmed.html,0
Rafael,10,http://www.vorname.com/name.Rafael.html,0
Paulina,10,http://www.vorname.com/name.Paulina.html,1
Nils,10,http://www.vorname.com/name.Nils.html,0
Malik,10,http://www.vorname.com/name.Malik.html,0
Juna,10,http://www.vorname.com/name.Juna.html,1
Isabella,10,http://www.vorname.com/name.Isabella.html,1
Helene,10,http://www.vorname.com/name.Helene.html,1
Fritz,10,http://www.vorname.com/name.Fritz.html,0
Franziska,10,http://www.vorname.com/name.Franziska.html,1
Emilie,10,http://www.vorname.com/name.Emilie.html,0
Elina,10,http://www.vorname.com/name.Elina.html,1
Elena,10,http://www.vorname.com/name.Elena.html,1
Arthur,10,http://www.vorname.com/name.Arthur.html,0
